USERID,GENDER,RACE,AGE,PROVINCE,CHANNEL2,DURATION2,VIEW_DATE,VIEW_TIME,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,DAY_TYPE,TIME_BUCKET,DURATION_BUCKET,AGE_BUCKET
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:01:02.000,2016-03-06,15:58:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:01:38.000,2016-03-06,16:00:00.000,Mar,6,Sun,Weekend,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:01:30.000,2016-03-27,18:07:00.000,Mar,27,Sun,Weekend,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
939592,male,coloured,34,Western Cape,Supersport Live Events,00:17:32.000,2016-03-27,16:51:00.000,Mar,27,Sun,Weekend,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Adults (25–34)
771796,male,coloured,35,Western Cape,SuperSport Blitz,00:27:14.000,2016-02-05,17:17:00.000,Feb,5,Fri,Weekday,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Mid Adults (35–44)
771796,male,coloured,35,Western Cape,Supersport Live Events,00:02:28.000,2016-03-24,12:46:00.000,Mar,24,Thu,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
771796,male,coloured,35,Western Cape,Channel O,00:00:51.000,2016-02-06,18:10:00.000,Feb,6,Sat,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771796,male,coloured,35,Western Cape,Supersport Live Events,00:00:18.000,2016-02-06,18:18:00.000,Feb,6,Sat,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771796,male,coloured,35,Western Cape,Supersport Live Events,00:24:10.000,2016-03-27,18:58:00.000,Mar,27,Sun,Weekend,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Mid Adults (35–44)
771796,male,coloured,35,Western Cape,Supersport Live Events,01:44:38.000,2016-03-26,19:00:00.000,Mar,26,Sat,Weekend,Early Evening (16:00 – 19:59),One-Hour Programs (01:00:00 – 01:59:59),Mid Adults (35–44)
889840,male,black,31,Mpumalanga,Supersport Live Events,00:00:00.000,2016-03-20,22:18:00.000,Mar,20,Sun,Weekend,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
